Customer ID,Age,Annual Income (k$),Gender,Spending Score (1-100),Product Category,Number of Purchases,Days Since Last Purchase,Average Purchase Value ($)
369,65,74,Female,10,Clothing,34,13,520.89
370,36,139,Male,54,Furniture,75,65,352.51
371,21,43,Male,84,Groceries,95,350,675.5
372,52,101,Female,65,Groceries,82,341,951.52
373,66,79,Male,77,Toys,23,194,490.75
374,34,68,Female,1,Toys,86,113,471.53
375,61,82,Female,5,Electronics,43,158,658.04
376,45,129,Female,80,Toys,82,160,112.46
377,47,128,Male,15,Groceries,40,253,260.97
378,46,95,Female,28,Toys,47,14,919.79
379,63,49,Other,95,Electronics,41,36,673.24
380,23,77,Female,23,Furniture,47,154,23.31
381,52,136,Female,17,Toys,20,26,212.58
382,58,119,Female,98,Groceries,77,11,686.01
383,54,38,Female,13,Furniture,65,66,766.76
384,41,113,Female,14,Groceries,68,29,841.46
385,46,132,Male,11,Furniture,24,95,299.26
386,66,82,Male,28,Groceries,36,214,931.72
387,63,135,Female,42,Toys,45,193,557.42
388,48,132,Male,96,Toys,2,134,699.57
389,52,66,Female,99,Electronics,28,289,600.77
390,50,76,Male,61,Furniture,26,31,131.51
391,69,137,Female,64,Electronics,23,38,963.48
392,38,64,Male,31,Clothing,79,351,131.65
393,49,23,Male,81,Toys,36,205,262.33
394,40,66,Female,73,Furniture,91,42,815.49
395,50,66,Female,10,Electronics,6,336,622.41
396,20,97,Female,8,Electronics,35,258,839.77
397,35,143,Male,21,Clothing,38,248,520.58
398,42,94,Female,77,Electronics,35,73,383.22
399,59,122,Female,59,Groceries,74,318,922.63
400,48,109,Female,50,Toys,94,295,45.89
401,20,88,Male,69,Electronics,53,273,857.57
402,57,80,Female,70,Electronics,38,322,238.51
403,63,69,Female,30,Clothing,93,358,850.25
404,41,22,Other,95,Groceries,59,189,147.8
405,67,126,Male,17,Electronics,43,137,584.42
406,49,132,Female,75,Toys,4,301,889.23
407,64,113,Female,20,Toys,5,310,478.8
408,39,137,Male,48,Electronics,68,330,749.1
409,40,100,Male,73,Groceries,45,352,806.62
410,19,128,Male,2,Toys,80,281,739.13
411,44,70,Male,37,Toys,25,165,926.08
412,59,54,Male,1,Groceries,78,277,452.37
413,19,65,Female,4,Groceries,11,25,181.39
414,43,88,Female,100,Electronics,29,72,57.33
415,34,112,Female,54,Furniture,34,114,254.0
416,57,83,Female,25,Clothing,86,50,151.77
417,50,68,Male,3,Furniture,14,170,562.37
418,26,93,Male,9,Furniture,24,267,193.1
419,60,24,Female,86,Toys,59,2,48.54
420,65,119,Male,87,Groceries,39,209,45.63
421,56,89,Male,76,Toys,26,337,833.25
422,46,109,Male,74,Clothing,43,300,595.54
423,59,23,Male,34,Electronics,36,341,364.5
424,43,145,Female,43,Clothing,39,114,895.29
425,52,58,Male,74,Toys,61,166,79.49
426,67,148,Male,94,Toys,16,264,980.52
427,42,43,Male,22,Toys,59,226,620.13
428,41,76,Female,70,Toys,96,150,191.63
429,30,119,Male,2,Furniture,6,267,682.28
430,24,89,Female,94,Electronics,98,115,765.75
431,53,60,Male,66,Furniture,56,87,435.05
432,62,79,Male,32,Toys,8,317,863.02
433,37,127,Female,16,Groceries,94,241,159.23
434,18,76,Male,76,Furniture,27,359,286.05
435,25,50,Male,1,Toys,71,328,102.56
436,63,103,Male,72,Toys,27,332,218.77
437,33,55,Female,48,Electronics,89,39,246.34
438,31,127,Male,50,Clothing,46,181,918.46
439,29,125,Female,13,Furniture,41,208,87.33
440,68,105,Male,15,Furniture,79,272,433.14
441,40,33,Male,53,Furniture,25,118,537.07
442,32,139,Male,44,Toys,86,23,899.71
443,45,99,Female,8,Electronics,18,257,997.72
444,51,125,Male,74,Toys,12,91,755.85
445,19,89,Male,46,Toys,87,160,971.08
446,49,63,Male,69,Groceries,51,148,789.23
447,40,92,Male,19,Electronics,39,116,963.57
448,39,64,Male,38,Furniture,89,52,710.2
449,68,126,Female,11,Clothing,10,301,88.97
450,42,103,Male,43,Furniture,94,44,407.9
451,39,101,Male,20,Toys,74,264,650.13
452,39,126,Female,20,Electronics,98,261,357.21
453,66,40,Male,21,Electronics,77,306,280.65
454,69,26,Male,82,Electronics,54,233,581.63
455,59,89,Male,57,Groceries,29,34,934.17
456,23,146,Female,50,Furniture,41,337,44.63
457,32,139,Male,74,Groceries,9,196,771.54
458,60,147,Female,98,Clothing,63,24,725.5
459,54,76,Male,26,Toys,77,201,964.31
460,50,77,Female,30,Groceries,37,272,931.4
461,25,40,Male,73,Groceries,14,35,764.61
462,61,101,Female,31,Toys,73,222,525.2
463,61,88,Female,42,Electronics,72,351,212.22
464,22,106,Female,68,Toys,39,276,549.78
465,56,68,Male,61,Furniture,40,17,767.7
466,21,134,Male,61,Toys,54,187,896.71
467,23,108,Male,70,Electronics,3,256,791.81
468,62,104,Male,78,Toys,55,141,203.31
469,49,147,Male,68,Groceries,33,135,603.69
470,69,136,Female,90,Clothing,96,306,338.85
471,47,146,Male,17,Groceries,71,78,19.11
472,64,90,Male,19,Clothing,19,291,208.22
473,52,105,Female,51,Toys,34,61,122.09
474,57,52,Female,70,Furniture,78,128,844.29
475,69,100,Male,63,Toys,50,340,265.92
476,33,80,Female,93,Electronics,47,297,291.85
477,30,80,Male,75,Toys,46,256,960.34
478,67,117,Female,80,Clothing,56,211,385.3
479,59,47,Female,30,Groceries,57,53,19.49
480,47,62,Female,25,Furniture,83,174,291.01
481,36,105,Female,75,Toys,51,99,128.11
482,34,36,Male,71,Toys,54,38,111.78
483,36,117,Male,26,Groceries,90,262,86.71
484,45,117,Female,56,Furniture,81,149,597.33
485,43,84,Male,22,Toys,28,120,197.45
486,54,93,Female,89,Toys,19,177,367.63
487,43,104,Male,19,Clothing,27,300,863.4
488,40,24,Male,31,Clothing,48,329,430.09
489,26,21,Male,26,Electronics,19,119,916.53
490,29,41,Male,42,Groceries,97,71,502.96
491,18,131,Female,41,Furniture,51,218,404.85
492,18,76,Female,100,Toys,7,301,752.89
493,64,85,Female,23,Toys,29,122,82.44
494,51,93,Female,47,Electronics,43,243,98.58
495,49,117,Female,13,Toys,69,74,655.45
496,65,131,Female,89,Groceries,94,5,492.07
497,42,144,Male,66,Electronics,58,20,792.51
498,57,105,Female,66,Groceries,8,189,917.11
499,62,95,Male,16,Electronics,42,224,394.48
500,18,107,Male,73,Toys,76,102,600.45
501,33,57,Female,28,Electronics,42,343,505.69
502,56,78,Male,77,Clothing,13,98,981.79
503,22,118,Male,35,Furniture,26,317,832.77
504,39,82,Male,41,Toys,18,362,912.62
505,46,68,Male,77,Furniture,42,82,261.8
506,20,51,Female,31,Toys,51,180,774.8
507,29,40,Male,85,Furniture,84,151,272.82
508,43,39,Male,32,Clothing,16,55,216.66
509,33,146,Male,54,Furniture,3,189,944.82
510,68,87,Male,98,Electronics,91,21,29.11
511,54,129,Female,72,Furniture,79,67,965.73
512,39,135,Male,59,Toys,98,184,157.77
513,46,139,Female,41,Groceries,45,9,821.24
514,31,98,Female,66,Furniture,22,65,283.16
515,45,135,Female,96,Furniture,23,263,357.2
516,22,111,Female,54,Furniture,59,224,224.59
517,64,33,Female,40,Toys,62,122,589.66
518,66,144,Male,28,Furniture,68,37,354.61
519,47,77,Male,37,Toys,54,122,660.82
520,63,47,Male,65,Toys,57,317,25.49
521,69,45,Female,74,Groceries,23,155,73.73
522,22,132,Male,55,Electronics,60,300,108.66
523,29,85,Male,4,Toys,73,320,424.8
524,33,63,Male,99,Clothing,88,66,816.65
525,43,116,Male,10,Furniture,85,132,889.3
526,43,61,Male,47,Clothing,55,361,252.36
527,65,25,Other,75,Furniture,80,139,578.63
528,38,42,Male,14,Groceries,63,81,770.68
529,56,108,Female,38,Toys,56,57,295.94
530,53,142,Female,12,Electronics,55,148,414.92
531,50,70,Male,45,Toys,25,130,528.73
532,47,30,Male,17,Furniture,26,68,143.53
533,54,31,Male,80,Electronics,49,344,35.72
534,40,93,Male,35,Toys,63,249,161.28
535,27,27,Female,66,Electronics,45,319,630.59
536,22,60,Male,75,Furniture,73,176,82.88
537,53,104,Male,41,Groceries,79,71,197.8
538,51,91,Female,67,Groceries,39,16,344.48
539,69,74,Female,29,Toys,97,328,87.09
540,48,66,Female,18,Clothing,65,159,199.78
541,27,123,Female,20,Furniture,69,69,912.16
542,36,61,Female,14,Toys,56,112,29.11
543,49,79,Male,34,Toys,9,231,656.9
544,18,31,Female,49,Groceries,70,20,390.56
545,22,149,Male,54,Electronics,28,134,675.92
546,62,26,Female,31,Furniture,45,262,592.8
547,21,99,Female,58,Electronics,26,110,231.26
548,33,128,Male,42,Furniture,28,245,848.74
549,41,22,Female,58,Clothing,40,282,497.02
550,33,46,Female,82,Groceries,15,7,824.31
551,19,133,Male,30,Clothing,6,283,411.95
552,66,126,Female,25,Toys,27,206,984.84
553,45,59,Male,63,Groceries,38,193,772.78
554,49,148,Female,19,Toys,68,46,966.29
555,44,27,Female,72,Clothing,75,341,519.18
556,37,120,Female,92,Furniture,85,241,478.95
557,41,143,Female,8,Toys,64,9,757.9
558,29,126,Female,95,Electronics,30,288,881.49
559,67,120,Female,3,Furniture,82,130,964.5
560,52,23,Male,67,Furniture,99,269,331.31
561,50,129,Female,86,Clothing,3,301,800.72
562,50,38,Male,81,Clothing,62,60,218.54
563,68,51,Female,100,Groceries,12,163,550.12
564,60,31,Male,17,Groceries,91,12,188.05
565,54,65,Male,14,Electronics,30,271,353.92
566,29,138,Female,9,Furniture,85,207,932.04
567,20,35,Male,62,Electronics,38,245,154.63
568,18,148,Male,94,Electronics,85,132,636.08
569,50,82,Male,21,Clothing,60,243,597.02
570,57,128,Male,76,Electronics,38,293,129.53
571,27,138,Male,37,Electronics,15,37,332.72
572,60,40,Male,96,Toys,18,358,567.35
573,61,32,Male,11,Groceries,52,55,195.31
574,46,23,Male,20,Groceries,29,318,802.62
575,30,121,Female,35,Furniture,60,47,972.43
576,29,78,Male,53,Groceries,21,104,222.61
577,48,147,Female,47,Furniture,17,58,195.04
578,63,46,Female,75,Toys,18,76,460.39
579,19,88,Male,52,Groceries,57,217,750.29
580,68,44,Female,8,Toys,37,54,288.78
581,67,116,Female,4,Groceries,60,54,29.68
582,52,44,Other,27,Groceries,38,128,545.81
583,40,145,Female,44,Toys,12,84,957.03
